 dq_variance cycle_life
0 9.663600264771342e-06 1852
1 9.683678956852016e-06 2160
2 1.8323155109711005e-05 2237
3 3.608997994486938e-05 1434
4 2.250382488567616e-05 1709
5 6.624026126041227e-05 1074
6 0.0001702637129223 636
7 0.0001536434047758 870
8 8.72200481780871e-05 1054
9 7.130228856858242e-05 788
10 8.993529426869348e-05 880
11 9.595130743781206e-05 719
12 7.954013514589506e-05 862
13 0.0001071125969275 857
14 0.0002238305979209 691
15 0.0002399347614457 788
16 0.0004293016817129 534
17 0.0004463360322465 559
18 9.103457241110652e-05 1014
19 0.0001151694986635 1017
20 9.378020536805894e-05 854
21 0.0001602433454256 870
22 0.0001400544137433 842
23 0.0001429842469732 860
24 0.0001451170011316 917
25 0.0001800117202166 709
26 0.0001668273978984 876
27 0.000225702569302 731
28 0.0002152496244542 757
29 0.0001417045655742 742
30 0.0001688084508574 703
31 0.0002140418309783 704
32 0.000211865921671 648
33 0.0003689366724831 617
34 0.0003129437479421 625
35 8.806174658415387e-05 966
36 8.48176100238975e-05 1051
37 0.0002158461043174 702
38 0.000214892336711 651
39 0.0003795770928016 616
40 0.0003755845892835 599
41 0.0017959194682053 300
42 0.0018754222887555 148
43 0.0003211746209684 438
44 0.001176125916859 335
45 0.0004446260986471 444
46 0.0002496347161487 480
47 0.0005696530853362 511
48 0.0002364212997953 561
49 0.000344573528819 477
50 0.0004785090409898 458
51 0.0006534043083988 483
52 0.0003171379347709 485
53 0.0003723989107088 494
54 0.0002967189952749 487
55 0.0004830533751876 461
56 0.0001901356458327 502
57 0.0002974840258485 489
58 0.0002790314382551 513
59 0.0002976739698878 527
60 0.0002014642961934 495
61 0.0003528070421846 461
62 0.0003915967025925 471
63 0.0002742784239434 468
64 0.0003004141066176 509
65 0.0001954775868975 498
66 0.0002484310275782 481
67 0.0002360133113698 492
68 0.0003257840987148 519
69 0.0002071953217673 520
70 0.0001979533069085 499
71 0.0003249590215255 463
72 0.0002728636241233 535
73 0.0002998214586201 478
74 0.0002909100569459 465
75 0.0003121779273305 459
76 0.0002755099674115 499
77 0.0003638463022554 429
78 0.0002586453057172 466
79 0.0004027463745565 462
80 0.0003527107218993 457
81 0.0002049190517216 487
82 0.0004276186760911 429
83 9.24845860618688e-05 713
84 5.687024898905241e-05 1009
85 5.181521321780508e-05 1063
86 7.645259474220121e-05 1115
87 6.630317519564988e-05 1048
88 7.683799523990656e-05 828
89 0.0002980518398608 667
90 3.2453221357996856e-05 1836
91 8.094615840627263e-05 828
92 0.0001041604978476 1039
93 3.878323894759448e-05 1078
94 0.0001303403357952 817
95 0.0001130342411889 932
96 8.045138308284514e-05 816
97 0.0001000765453483 858
98 9.984253014088351e-05 876
99 2.020628622431914e-05 1638
100 3.633180045384266e-05 1315
101 5.571190370898626e-05 1146
102 6.730667325120848e-05 1155
103 8.583320053473407e-05 813
104 0.0001975483079849 772
105 8.977958692912617e-05 1002
106 6.994312062017459e-05 825
107 7.135743905511085e-05 989
108 6.032434097872005e-05 1028
109 7.410844302086189e-05 850
110 0.0003534614925326 541
111 8.638212824469724e-05 858
112 7.939158148811134e-05 935
113 0.0001446761604603 731
114 4.0188487978171294e-05 1284
115 4.946983882423062e-05 1158
116 5.822931890241741e-05 1093
117 5.5788165335225655e-05 923
118 4.5493249228224246e-05 1935
119 3.510467231268054e-05 1156
120 5.068643250322407e-05 796
121 6.03240691683163e-05 786
122 7.387618796699746e-05 940
123 3.014041303195534e-05 1801
